id,name,content
0,清理玉米堆,9月9号在网格内巡查看到***门口处，主要路上有几堆玉米棒在路上堆着，对过往行人及车辆交通存在安全隐患，通知本户清理以免给群众交通造成危害。
1,***交通,2020年09月10日上午，***第一网格***，在日常走访巡查过程中，发现***村农贸市场附近停有一辆大型危险品运输车。
2,***村前街路口西侧路南有杂草树枝等在路上，影响市容市貌和交通安全，需要清理干净。,2020.9.2日，***村前街路口西侧路南有杂草树枝等杂物，影响市容市容和交通安全，需清理干净。
3,共享单车乱停乱放,网格巡查时发现共享单车乱停乱放，影响市容
4,垃圾桶满,2020.09.03日上午巡查时，发现村东北角一处垃圾桶已满，已联系保洁员处理
5,清理棒子杆,巡查**村民马x泉在家门口晒了许多棒子杆**村容村貌
6,店铺门前乱堆杂物,2020年9月10日上午9时35分，***县***街道***社区***区专属网格员***巡查至***广场B区时，发现店铺***门前装修物料未及时清理，店铺门前乱堆杂物，不利于行人的正常通行，同时也影响商场良好运营秩序。
7,***6号楼2单元101居民家墙体潮湿,2020年9月1日下午14点50分左右，***十二网格网格员***在***巡查时，收到6号楼2单元101居民反映自己家墙体潮湿，由于是买的别人的房子，具体情况不清楚，最近刚搬来住就发现墙体潮湿有长毛迹象，最大可能是暖气漏水，为避免冬天来暖造成财产损失，希望网格员及时上报，让物业人员***里查看情况，业主好尽快维修。
8,墙面维修,2020年9月2日下午16时50分左右，**六格网格员***到渤海***巡查，发现***楼道内墙皮脱落，存在安全隐患，建议及时维修。
9,防碍交通,2020年9月7日，在***村巡查时，发现办公室前的道路上停着一辆大车，原来有人和司机正在说话，我赶紧向前劝导司机不要在路上乱停车，给他讲解乱停主造成的交通事故，司机认识到了危险性，答应马上就走。
10,楼道内存放杂物。,2020年9月10号星期四。***街道***社区第七网格的网格员。今天上午在***小区巡逻排查时发现。其实号楼三单元楼道内存放着自行车杂物等影响市容。并存在不安全隐患。立即联系居民，让他清理干净。
11,清理草丛中大堆垃圾,网格内日常巡查时发现村后草丛中有大堆垃圾，并且发出刺鼻的气味，影响市容市貌还会污染环境，正值创城复检阶段，我立即上报网格长，请网格长安排专人进行清理。
12,气块砖堆放街边影响市容,气块砖堆放街边影响市容
13,村后大堆垃圾，影响市容市貌,网格内日常巡查时发现村后草丛中有大堆垃圾，影响市容市貌的同时还会污染环境，我立即上报网格长，，请网格长***排专人进行清理。
14,排查重点上访人员,电话排查村内涉稳重点人员***，现居住在***村。该人员因***工作人员禁止其建设粪污配套设施项目上访，该问题目前正在解决中，上访人员目前暂时稳定。
15,创城期间侵占小区公共空间,创城期间，居民将自己家的花生晾晒在小区广场，侵占公共空间，也影响文明创城。网格员巡视小区发现后立即寻找晾晒业主，沟通后业主收走晾晒花生，保障居民权益，共创文明城市。
16,清理乱放的马桶,2020年12月2日，***社区第三网格***在巡查***东区的时候发现在9号楼一单元处有乱放的马桶，通知物业及时清理。
17,***村***街第二条东西街西第二条胡同南第一户路边堆放,2020年9月9日***村网格员***巡查至***村***街第二条东西街西第二条胡同南第一户路边堆放杂草。
18,楼道内废品堆放,2020年9月8日，***社区第一网格，网格员***。今日在网格巡查中发现***路***小区内部1号楼2单元楼道内有堆放的废旧纸箱和泡沫箱等废品，影响了楼道内公共卫生，破坏了环境，也造成了安全隐患。应及时清理干净。已联系物业工作人员找到业主尽快进行清理。
19,捡到居民的退伍证，并送到家里,9月7日上午，***社区***小区1网格员应创城要求加班一早来到小区进行创城工作的检查，在***东侧的绿化带旁边捡到一个红色本子，网格员捡起来一看，原来是一本退伍证。近期由于给退伍军人建档立卡，很多人都会随身携带退伍证，我们抓紧时间查找到退伍证上的居民***联系方式，确认是7-2-301的住户，网格员马上送到该居民手中，居民对我们表示感谢，说正在家中为丢失退伍证着急，谢谢我们在创城这么紧张工作中还能为居民解忧。
20,清理电线,今天对我村巡逻发现我村电线网线有些乱，叫人清理修理。
21,玉米皮胡同晾晒,2020年9月9日七时50分左右，***村第二网格网格员***在日常巡查走访过程中发现，***胡同北侧有村民将大量玉米皮晾晒在胡同中，影响胡同卫生
22,路边垃圾,2020年9月1日上午8点左右，*****村第二网格员***，日常巡查时发现村西头路边扔有树根，影响村容村貌和村内整洁。
23,网格员在巡查中，发现***二区网格内有废弃家具堆放,9月9日，网格员在巡查中，发现***二区网格20号楼西侧有废弃家具堆放，影响小区环境卫生，网格员及时督促物业保洁对杂物进行清理。
24,**停车场东边垃圾桶爆满,2020年10月10日上午9点10分，***网格员***在走访入户时，发现**停车场东边一垃圾桶爆满，影响市容市貌，不利于文明城市的创建。
25,42号东侧垃圾箱有水。,2020年9月11号，星期5。***街道办事处***。***社区。第三网格员。8.55今天排查时发现46号楼东侧垃圾箱下雨后垃圾箱外有水，居民很不方便放垃圾。把垃圾箱推到没水的地方，居民就方便放垃圾了。
26,***村收割机乱停,2020.9.10号，***村网格员***在巡查到村口***路和***路交叉路口时看到有收割机停放在十字路口的旁边，因为收割机很大很高，影响车辆和行人的通行视线，容易发生事故
27,易拉罐,在小区发现一个废弃的易拉罐，及时清理。
28,道路旁的玉米皮,巡查发现在我村村北道路上有堆放的玉米皮影响村貌
29,二期16号楼东侧垃圾桶爆桶,2020年9月11日下午2:25，**社区第八网格网格员***巡查至***二期16号楼，在楼东侧垃圾桶爆满，无法盖盖，破坏了小区环境，垃圾桶爆满影响小区居民垃圾处理，希望尽快清理
