id,name,content,label
0,渠內有草,9月9日上午8点40分***村网格员***在辖区内巡查中当巡查到我村村北首时发现排水渠内长满草，对村内村容村貌影响很大,0
1,清理楼道杂物,辖区内清理楼道杂物,0
2,路灯报修,2020年9月8日，***村网格员***，在三十八户村进行晚间摸排时，发现我们村村***大院西北方向的路灯不亮了，7日是村委集中办公日，我向村委反映了这一情况，村委立马落实，对路灯进行了维修。现在已经修好。,0
3,商铺排查,2021年2月1日***第七网格员***在***小区内商铺排查有无安全隐患。,0
4,清理***4***北侧粪便,2020年9月7日8时10分***社区居委会***第一网格***，第二网格***，第三网格***在***小区巡查时，发现4***北侧主路上有狗的粪便，此处来往居民较多稍不注意就会踩在脚上，网格员立即用纸将粪便盖住，找来物业保安将粪便进行了清理，消除了安全隐患，美化了小区环境！,0
5,消防通道上禁止停放私家车,2020年9月9日下午14:45左右，在******里巡逻排查时，***七号网格员发现38旁的消防通道上。消防通道上禁止停放私家车，与车主协商及时开到停车位或自家车库内。,7
6,晾晒被子,2021年2月1号上午10时40分，***网格员***到沿街商铺巡查，发现在***商铺前有晾晒被子的，影响小区市容市貌。,6
7,电动车乱停放在办公楼前，影响其他车辆通行,电动车乱停放在办公楼前，影响其他车辆通行,2
8,28号楼西侧绿化需要及时浇水养护,《28号楼西侧绿化植被需要浇水》2020年9月9号下午1.50分，***办事处***社区六网格员打卡上班。***28号楼西侧刚种上绿化植被，如不及时浇水就会干枯。网格员上报社区协调物业及时浇水。,0
9,在巡查过程中看到地面上全是泥印，影响村容村貌,地面上全是泥印，影响村容村貌,12
10,乱堆砖块,2020年9月2日7：49左右***东**村网格员***日常巡查，巡查至村西街时发现一户村民的大门口旁堆放着一些砖块，影响村容村貌，不利于人居环境整治。,1
11,***路小周酒水旁垃圾堆放治理,9月10日9时50分，***管委会第一网格网格员***日常巡查时，发现***路***旁堆放着一堆鞭炮纸没及时清理，影响市容市貌。网格员已电话联系物业人员把垃圾清理干净。,0
12,电力设施维修,2020年12月1号我是***村网格员***，网格巡查走访发现村民***家供电线路老化，随即协调电工师傅上门维修恢复供电,11
13,门卫道闸故障处理,9月9日巡视***北院门卫时，发现门卫道闸故障，已上报有关部门。,0
14,警示牌清理,警示牌清理保持干净整洁,0
15,帮助残疾人修理房屋,我村残疾人***偏房漏雨严重，未向村内反映，今天下午姐弟俩个买来涂料在家修理，发现后及时上前帮忙，自己架梯存在安全隐患。,0
16,8号楼1单元6楼声控灯接线盒破损,2020年9月11号上午9点30分左右，***县***街道***第四网格网格员在巡查网格过程中发现***区8号楼1单元6楼楼道声控灯接线盒破损，电线露在外面，极容易引发触电危险，存在极大的安全隐患，而且显得极其不美观，不符合精神文明城市的创建要求，不利于精神文明城市的创建。,0
17,电动车充电,2020年9月8日11时左右***社区第二网格网格员***巡查至***19号楼1单元时发现有居民电动车充电，存在安全隐患。,0
18,建筑垃圾,2020年9月9日上午9点7分，***村网格员***在巡查过程中，巡查到***幼儿园东边胡同时发现居民家墙外有建筑垃圾，此处是交通要道，影响村容村貌。,5
19,清理街面乱堆乱放,2020.12.01上午10:10左右***镇***村第二网格员***巡查至***村东区发现南北路边上堆放了很多粪便，正好堆放在了过往车辆比较多的公路边上，影响特别不好，居民反应很大。,1
20,废弃垃圾桶乱堆乱放,2020年9月7日9时25分左右，***街道***社区第***网格的网格员***，在上午的日常巡查中，发现***三期18号楼西北方向变压器旁，有大量废弃的垃圾桶乱堆乱放，严重影响社区的区容区貌，不利于文明城市的创建。,0
